distinct directory-record timestamps: 1605 over 2879 records

as-printed               tz  count  raw seven bytes         valid?
1995-02-28 03:01:00      +0     14  5F 02 1C 03 01 00 00    yes
1996-09-03 09:04:38      +0     14  60 09 03 09 04 26 00    yes
1979-06-05 06:14:44      +0     13  4F 06 05 06 0E 2C 00    yes
1996-09-03 09:04:24      +0     13  60 09 03 09 04 18 00    yes
1996-09-03 09:04:28      +0     13  60 09 03 09 04 1C 00    yes
1996-09-03 09:04:30      +0     13  60 09 03 09 04 1E 00    yes
1996-09-03 09:04:34      +0     13  60 09 03 09 04 22 00    yes
1996-09-03 09:04:36      +0     13  60 09 03 09 04 24 00    yes
1996-09-03 09:04:40      +0     13  60 09 03 09 04 28 00    yes
1996-09-03 09:04:42      +0     13  60 09 03 09 04 2A 00    yes
1996-09-03 09:04:44      +0     13  60 09 03 09 04 2C 00    yes
1996-09-03 09:04:46      +0     13  60 09 03 09 04 2E 00    yes
1996-09-03 09:04:52      +0     13  60 09 03 09 04 34 00    yes
1995-11-12 18:00:00      +0     13  5F 0B 0C 12 00 00 00    yes
1996-09-03 09:04:20      +0     12  60 09 03 09 04 14 00    yes
1996-09-03 09:04:22      +0     12  60 09 03 09 04 16 00    yes
1996-09-03 09:04:26      +0     12  60 09 03 09 04 1A 00    yes
1996-09-03 09:04:32      +0     12  60 09 03 09 04 20 00    yes
1995-06-18 06:00:00      +0     11  5F 06 12 06 00 00 00    yes
1996-09-03 09:04:50      +0     11  60 09 03 09 04 32 00    yes
1996-09-03 09:04:48      +0     10  60 09 03 09 04 30 00    yes
1997-02-10 12:06:14      +0      9  61 02 0A 0C 06 0E 00    yes
1997-02-11 08:58:26      +0      9  61 02 0B 08 3A 1A 00    yes
1997-02-11 08:57:56      +0      8  61 02 0B 08 39 38 00    yes
1997-02-11 08:57:58      +0      8  61 02 0B 08 39 3A 00    yes
1997-02-11 08:58:02      +0      8  61 02 0B 08 3A 02 00    yes
1997-02-10 12:06:12      +0      8  61 02 0A 0C 06 0C 00    yes
1997-02-11 08:58:18      +0      8  61 02 0B 08 3A 12 00    yes
1997-02-11 08:58:24      +0      8  61 02 0B 08 3A 18 00    yes
1997-02-10 12:16:44      +0      8  61 02 0A 0C 10 2C 00    yes
1996-09-03 09:04:54      +0      8  60 09 03 09 04 36 00    yes
1997-02-10 12:08:52      +0      7  61 02 0A 0C 08 34 00    yes
1997-02-10 12:09:02      +0      7  61 02 0A 0C 09 02 00    yes
1997-02-10 12:09:06      +0      7  61 02 0A 0C 09 06 00    yes
1997-02-10 12:09:08      +0      7  61 02 0A 0C 09 08 00    yes
1997-02-10 12:09:12      +0      7  61 02 0A 0C 09 0C 00    yes
1997-02-10 12:09:18      +0      7  61 02 0A 0C 09 12 00    yes
1997-02-10 12:09:30      +0      7  61 02 0A 0C 09 1E 00    yes
1997-02-10 12:09:34      +0      7  61 02 0A 0C 09 22 00    yes
1997-02-11 08:58:00      +0      7  61 02 0B 08 3A 00 00    yes
1997-02-10 12:05:50      +0      7  61 02 0A 0C 05 32 00    yes
1997-02-10 12:06:16      +0      7  61 02 0A 0C 06 10 00    yes
1997-02-10 12:06:42      +0      7  61 02 0A 0C 06 2A 00    yes
1997-02-10 12:07:50      +0      7  61 02 0A 0C 07 32 00    yes
1997-02-11 08:58:22      +0      7  61 02 0B 08 3A 16 00    yes
1997-02-11 08:58:28      +0      7  61 02 0B 08 3A 1C 00    yes
1997-02-11 08:58:30      +0      7  61 02 0B 08 3A 1E 00    yes
1997-02-10 12:16:46      +0      7  61 02 0A 0C 10 2E 00    yes
1997-02-10 12:16:50      +0      7  61 02 0A 0C 10 32 00    yes
1997-02-10 12:16:52      +0      7  61 02 0A 0C 10 34 00    yes
1997-02-11 08:58:36      +0      7  61 02 0B 08 3A 24 00    yes
1996-01-18 11:13:10      +0      7  60 01 12 0B 0D 0A 00    yes
1997-02-11 09:02:10      +0      7  61 02 0B 09 02 0A 00    yes
1997-02-11 09:01:46      +0      7  61 02 0B 09 01 2E 00    yes
1997-02-11 09:01:42      +0      7  61 02 0B 09 01 2A 00    yes
1997-02-11 09:01:44      +0      7  61 02 0B 09 01 2C 00    yes
1997-02-11 09:01:50      +0      7  61 02 0B 09 01 32 00    yes
1997-02-11 09:01:54      +0      7  61 02 0B 09 01 36 00    yes
1997-02-11 09:00:40      +0      7  61 02 0B 09 00 28 00    yes
1997-02-11 09:00:54      +0      7  61 02 0B 09 00 36 00    yes
1997-02-11 09:01:00      +0      7  61 02 0B 09 01 00 00    yes
1997-02-11 09:01:06      +0      7  61 02 0B 09 01 06 00    yes
1997-02-12 19:26:22      +0      7  61 02 0C 13 1A 16 00    yes
1997-02-12 19:26:24      +0      7  61 02 0C 13 1A 18 00    yes
1997-02-12 19:26:28      +0      7  61 02 0C 13 1A 1C 00    yes
1997-02-12 19:26:30      +0      7  61 02 0C 13 1A 1E 00    yes
1997-02-12 19:26:34      +0      7  61 02 0C 13 1A 22 00    yes
1997-02-12 19:26:36      +0      7  61 02 0C 13 1A 24 00    yes
1997-02-12 19:26:42      +0      7  61 02 0C 13 1A 2A 00    yes
1997-02-12 19:26:44      +0      7  61 02 0C 13 1A 2C 00    yes
1997-02-12 19:26:48      +0      7  61 02 0C 13 1A 30 00    yes
1997-02-12 19:26:52      +0      7  61 02 0C 13 1A 34 00    yes
1997-02-12 19:26:54      +0      7  61 02 0C 13 1A 36 00    yes
1997-02-12 19:26:58      +0      7  61 02 0C 13 1A 3A 00    yes
1997-02-12 19:27:02      +0      7  61 02 0C 13 1B 02 00    yes
1997-02-12 19:27:04      +0      7  61 02 0C 13 1B 04 00    yes
1997-02-12 19:27:08      +0      7  61 02 0C 13 1B 08 00    yes
1997-02-12 19:27:10      +0      7  61 02 0C 13 1B 0A 00    yes
1997-02-12 19:27:14      +0      7  61 02 0C 13 1B 0E 00    yes
1997-02-12 19:27:18      +0      7  61 02 0C 13 1B 12 00    yes
1997-02-12 19:27:20      +0      7  61 02 0C 13 1B 14 00    yes
1997-02-12 19:27:24      +0      7  61 02 0C 13 1B 18 00    yes
1997-02-12 19:27:26      +0      7  61 02 0C 13 1B 1A 00    yes
1997-02-12 19:27:30      +0      7  61 02 0C 13 1B 1E 00    yes
1997-02-12 19:27:32      +0      7  61 02 0C 13 1B 20 00    yes
1997-02-12 19:27:36      +0      7  61 02 0C 13 1B 24 00    yes
1997-02-12 19:27:42      +0      7  61 02 0C 13 1B 2A 00    yes
